ons_code,authority,region,sfa_2018,under_index_2018,ct_total_2018,nhb_2018,nhb_return_2018,rsdg_2018
E07000223,Adur,SE,1.699866991,0.038955285,6.084257328,0.20243976,0,0
E07000026,Allerdale,NW,4.168774716,0.080584438,5.100159601,1.003560397,0,0.325556023
E07000032,Amber Valley,EM,3.567297482,0.071033513,6.327566231,1.358852138,0,0
E07000224,Arun,SE,3.722757014,0.080872961,10.6549128,2.733181633,0,0
E07000170,Ashfield,EM,4.434619457,0.085646018,6.14623713,2.085999738,0,0
E07000105,Ashford,SE,2.980931164,0.063434696,7.1946,2.501229641,0,0.083085477
E31000001,Avon Fire,SW,16.16229949,0.240442491,25.74154598,0,0,0
E07000004,Aylesbury Vale,SE,3.831311078,0.087800879,11.64679941,6.313187658,0,0
E07000200,Babergh,EE,2.261363588,0.047145623,5.214118806,0.865546726,0,0.226762537
E09000002,Barking And Dagenham,L,78.79349575,1.271918272,58.52071055,3.709788692,0,0
E09000003,Barnet,L,71.35938944,1.294668162,168.7887541,9.375247744,0,0
E08000016,Barnsley,YH,73.78863567,1.255072232,89.31109708,3.783138977,0,0
E07000027,Barrow-in-Furness,NW,4.698712481,0.068986415,4.4093082,0.094632955,0,0
E07000066,Basildon,EE,5.766396265,0.125683723,16.28515935,1.766500916,0,0
E07000084,Basingstoke And Deane,SE,3.240668329,0.067282475,7.4607757,1.880445901,0,0
E07000171,Bassetlaw,EM,4.635789389,0.08941592,5.76740736,1.208578534,0,0.053727111
E06000022,Bath And North East Somerset,SW,27.17050295,0.52219536,86.73213867,4.790292615,0,0
E06000055,Bedford,EE,41.11678997,0.70848152,86.07736848,6.005999094,0,0
E31000002,Bedfordshire Fire,EE,8.571427779,0.130985206,19.97191503,0,0,0
E31000003,Berkshire Fire,SE,10.52680199,0.157112287,22.07864008,0,0,0
E09000004,Bexley,L,43.78290571,0.807956225,105.1700629,2.587943778,0,0
E08000025,Birmingham,WM,488.5647929,7.896466025,327.2767144,8.763418778,0,0
E07000129,Blaby,EM,2.31243404,0.04916358,5.215709912,2.409778711,0,0
E06000008,Blackburn with Darwen,NW,60.70629413,0.982420802,50.3452254,1.227763363,0,0
E06000009,Blackpool,NW,66.15808234,1.064876577,54.73197966,0.464550865,0,0
E07000033,Bolsover,EM,4.372881712,0.064510025,3.675618995,0.993166125,0,0
E08000001,Bolton,NW,88.88044765,1.502488255,108.7724825,1.50624433,0,0
E07000136,Boston,EM,3.273049261,0.059584684,3.43581696,0.612959296,0,0.085246476
E06000028,Bournemouth,SW,37.82552581,0.696747633,90.3371243,2.021505962,0,0
E06000058,"Bournemouth, Christchurch and Poole",SW,0,0,0,0,0,0
E06000036,Bracknell Forest,SE,20.63551555,0.371043874,57.34455012,1.771727709,0,0
E08000032,Bradford,YH,182.4941298,3.069806806,187.1133571,5.663393308,0,0
E07000067,Braintree,EE,3.62664061,0.076866172,9.0710298,1.272624401,0,0.022124606
E07000143,Breckland,EE,4.879604554,0.087281658,3.65820076,2.395581561,0,0.472438777
E09000005,Brent,L,118.6612411,1.946955167,115.0338948,8.872291545,0,0
E07000068,Brentwood,EE,1.596062752,0.036576438,5.969008764,0.409971106,0,0
E06000043,Brighton And Hove,SE,71.02712993,1.303581782,137.8573649,2.996804773,0,0
E06000023,Bristol,SW,127.7639592,2.248466902,204.5391872,7.551907818,0,0
E07000144,Broadland,EE,3.204297543,0.063388854,5.6235756,2.008142415,0,0
E09000006,Bromley,L,41.35346567,0.848110784,150.6070339,3.533729462,0,0
E07000234,Bromsgrove,WM,1.679686444,0.038492814,7.910079083,1.642659035,0,0
E07000095,Broxbourne,EE,2.64605234,0.051894473,4.44216948,0.431705562,0,0
E07000172,Broxtowe,EM,3.209940482,0.063872224,5.43869358,0.210347912,0,0
E10000002,Buckinghamshire,SE,42.81255464,0.981121044,281.0111231,2.261765616,0,0
E06000060,Buckinghamshire Council,SE,0,0,0,0,0,0
E31000004,Buckinghamshire Fire,SE,7.582305666,0.113430028,18.84842256,0,0,0
E07000117,Burnley,NW,6.329944772,0.09400691,6.738897,0.561133515,0,0
E08000002,Bury,NW,45.4172364,0.7937843,79.625924,1.333171793,0,0
E08000033,Calderdale,YH,52.97771194,0.930889347,87.99395308,1.518170319,0,0
E07000008,Cambridge,EE,4.680018787,0.094167504,8.24306405,5.595803471,0,0
E10000003,Cambridgeshire,EE,66.8179945,1.441521439,279.4898592,3.353625236,0,0
E31000005,Cambridgeshire Fire,EE,9.022700054,0.134811228,19.24465882,0,0,0
E09000007,Camden,L,119.877281,2.016738472,106.30961,5.556881844,0,0
E07000192,Cannock Chase,WM,3.313582841,0.067136762,6.046814592,1.03155879,0,0
E07000106,Canterbury,SE,4.889054182,0.103328333,10.19123748,1.057354751,0,0
E07000028,Carlisle,NW,3.65672848,0.073520961,6.90523008,1.606365488,0,0.183728954
E07000069,Castle Point,EE,2.177060385,0.049890967,7.62779808,0.690855275,0,0
E06000056,Central Bedfordshire,EE,35.63147829,0.70922626,148.5051968,8.028623114,0,0
E07000130,Charnwood,EM,4.874465539,0.094630011,7.69587588,3.62083716,0,0
E07000070,Chelmsford,EE,3.278366564,0.075129234,12.38437391,3.155947995,0,0
E07000078,Cheltenham,SW,2.835550926,0.062637028,8.474693052,1.754529999,0,0
E07000177,Cherwell,SE,4.310648867,0.084182851,6.5061776,4.008684225,0,0
E06000049,Cheshire East,NW,46.33294141,0.937676104,206.4344963,8.562572957,0,0
E31000006,Cheshire Fire,NW,13.62145538,0.208738074,27.7345448,0,0,0
E06000050,Cheshire West and Chester,NW,62.20702477,1.167295003,171.584505,8.870502322,0,0
E07000034,Chesterfield,EM,4.104262744,0.074366184,4.599891399,0.461645621,0,0
E07000225,Chichester,SE,2.166160034,0.049641167,8.227437983,2.314004205,0,0.189069032
E07000005,Chiltern,SE,1.43634837,0.032916317,8.025410456,0.61759988,0,0
E07000118,Chorley,NW,3.12849562,0.064832761,6.823788454,2.989383503,0,0
E07000048,Christchurch,SW,0.95756817,0.021944271,4.00595736,0.388652768,0,0
E09000001,City of London,L,23.58046465,0.367559288,5.81249866,0.883714544,0,0
E31000007,Cleveland Fire,NE,14.72629991,0.206444779,11.3679678,0,0,0
E07000071,Colchester,EE,4.437316446,0.095382776,11.4706548,3.443244733,0,0
E07000029,Copeland,NW,2.802630888,0.055591683,4.152294288,0.226982039,0,0.048384679
E07000150,Corby,EM,2.423655889,0.046612867,3.6143335,1.743282465,0,0
E06000052,Cornwall,SW,136.4924966,2.471931245,281.0685504,11.98832757,0,3.943039074
E07000079,Cotswold,SW,1.907521081,0.04140576,5.09364192,3.205113119,0,0.602433506
E08000026,Coventry,WM,103.712354,1.782552599,127.2220271,5.060123371,0,0
E07000163,Craven,YH,1.570239485,0.032747236,3.75470055,0.512635288,0,0.279914173
E07000226,Crawley,SE,4.078971887,0.080304992,6.862050756,1.467303383,0,0
E09000008,Croydon,L,94.52605641,1.632237617,167.3592099,6.254183428,0,0
E10000006,Cumbria,NW,114.409121,1.958598803,225.3048787,1.105533741,0,5.806272172
E07000096,Dacorum,EE,2.902254456,0.066509998,11.09394124,2.110047233,0,0
E06000005,Darlington,NE,28.36827708,0.504960413,47.33086091,1.82937336,0,0
E07000107,Dartford,SE,2.927325442,0.059869703,6.33918528,4.121232707,0,0
E07000151,Daventry,EM,2.194323472,0.046686313,4.83300142,2.576890782,0,0.185674292
E06000015,Derby,EM,74.42032296,1.272395257,93.02717767,1.884939701,0,0
E10000007,Derbyshire,EM,137.2097906,2.488216947,310.9039654,2.057944629,0,0
E07000035,Derbyshire Dales,EM,1.611322915,0.03692615,5.889900753,0.472623335,0,0.401178879
E31000010,Derbyshire Fire,EM,13.35208329,0.198025706,23.31953024,0,0,0
E10000008,Devon,SW,115.0361882,2.262842841,382.1179564,3.808790857,0,7.455311941
E31000011,Devon and Somerset Fire,SW,22.61836787,0.351160704,50.32934088,0,0,0.423723058
E08000017,Doncaster,YH,101.5902456,1.683432367,103.8409984,4.45854237,0,0
E10000009,Dorset,SW,38.57113937,0.883921944,232.9915824,1.00137812,0,1.520462118
E31000047,Dorset and Wiltshire Fire,SW,14.54892338,0.230445927,39.34803168,0,0,0.049132691
E06000059,Dorset Council,SW,0,0,0,0,0,0
E07000108,Dover,SE,4.13243591,0.081673696,6.922118718,1.515302759,0,0
E08000027,Dudley,WM,91.6361618,1.518322087,116.2526819,2.744096867,0,0
E06000047,Durham,NE,164.3140963,2.806236948,209.712009,6.503949154,0,0
E31000013,Durham Fire,NE,10.69455426,0.15701931,17.17000124,0,0,0
E09000009,Ealing,L,100.3356227,1.699709014,129.5736889,4.581918627,0,0
E07000009,East Cambridgeshire,EE,2.725905003,0.054362952,4.15908747,0.71371922,0,0.161605717
E07000040,East Devon,SW,2.692420004,0.058798552,8.02474582,4.167853733,0,0.225591626
E07000049,East Dorset,SW,1.328643461,0.030448079,8.24523128,0.534970194,0,0
E07000085,East Hampshire,SE,1.82353881,0.041789431,6.484648156,2.421705103,0,0
E07000242,East Hertfordshire,EE,2.616930828,0.059971331,9.780223452,2.644987279,0,0
E07000137,East Lindsey,EM,7.516429586,0.135593793,5.95033452,1.524661621,0,0.664348792
E07000152,East Northamptonshire,EM,2.732090366,0.053124479,4.3464002,2.323182833,0,0.033698331
E06000011,East Riding of Yorkshire,YH,63.6968184,1.173388098,161.8060248,3.509389278,0,1.865533617
E07000193,East Staffordshire,WM,3.460373185,0.070525735,6.591979616,1.648403212,0,0
E07000244,East Suffolk,EE,0,0,0,0,0,0
E10000011,East Sussex,SE,87.17225752,1.654726391,276.7204049,1.230708982,0,0
E31000014,East Sussex Fire,SE,11.12808754,0.171141255,26.1726374,0,0,0
E07000061,Eastbourne,SE,3.958584934,0.080509108,8.233719048,0.339634541,0,0
E07000086,Eastleigh,SE,2.725176422,0.056953368,5.77683758,1.717634621,0,0
E07000030,Eden,NW,1.737610723,0.037819713,3.8847382,0.61554676,0,0.677638479
E07000207,Elmbridge,SE,2.239681758,0.05132604,13.789799,1.102443125,0,0
E09000010,Enfield,L,97.07268526,1.634880322,121.0786259,1.986494911,0,0
E07000072,Epping Forest,EE,3.463878668,0.073412795,8.166184488,0.849291479,0,0
E07000208,Epsom And Ewell,SE,1.365662749,0.031296438,6.28995006,0.833932461,0,0
E07000036,Erewash,EM,3.759444975,0.07327719,5.945184135,0.791415148,0,0
E10000012,Essex,EE,215.6497225,3.893785129,635.5527617,4.550714854,0,0
E31000015,Essex Fire,EE,25.23701117,0.364150776,44.24088208,0,0,0
E07000041,Exeter,SW,4.841662313,0.091042796,5.48387735,2.590905952,0,0
E07000087,Fareham,SE,1.855177671,0.042514488,6.613194666,0.962034275,0,0
E07000010,Fenland,EE,4.004726699,0.081604524,7.54787034,1.426177023,0,0
E07000112,Folkestone and Hythe,SE,3.895563163,0.082280645,9.899489358,1.361665423,0,0
E07000201,Forest Heath,EE,2.369101202,0.044178576,2.646695052,0.718292798,0,0.021844496
E07000080,Forest of Dean,SW,2.886581259,0.057142086,4.963072479,1.495274425,0,0.125237105
E07000119,Fylde,NW,1.908743988,0.042662501,5.99809911,1.349175194,0,0
E08000037,Gateshead,NE,77.66622824,1.288902862,86.79802771,1.787660986,0,0
E07000173,Gedling,EM,3.344198558,0.067817407,5.974477125,0.856679252,0,0
E07000081,Gloucester,SW,4.180307935,0.081662829,7.306705472,1.744550419,0,0
