ons_code,authority,region,sfa_2020,under_index_2020,ct_total_2020,nhb_2020,nhb_return_2020,rsdg_2020
E07000223,Adur,SE,1.767153393,0.070827791,6.529024304,0.088087144,0,0
E07000026,Allerdale,NW,3.854986507,0.14651716,5.399756544,0.606089901,0,0.325556023
E07000032,Amber Valley,EM,3.227026447,0.129151842,6.845693688,1.578635831,0,0
E07000224,Arun,SE,3.668691587,0.147041747,11.61286308,2.294948635,0,0
E07000170,Ashfield,EM,4.082111054,0.155720033,6.417606838,1.154685145,0,0
E07000105,Ashford,SE,2.877628503,0.115335812,7.92275,3.053419969,0,0.083085477
E31000001,Avon Fire,SW,16.0232857,0.437168166,27.83091744,0,0,0
E07000004,Aylesbury Vale,SE,0,0,0,0,0,0
E07000200,Babergh,EE,2.138696907,0.085719315,5.774370332,1.054539571,0,0.226762537
E09000002,Barking And Dagenham,L,75.71821549,2.312578676,65.78702768,1.852969234,0,0
E09000003,Barnet,L,65.01406816,2.353942112,188.279765,9.993422649,0,0
E08000016,Barnsley,YH,69.88872419,2.281949512,100.8124216,4.152564292,0,0
E07000027,Barrow-in-Furness,NW,4.401742673,0.125429846,4.743481628,0.011074364,0,0
E07000066,Basildon,EE,5.701470726,0.228515861,17.09361295,0.764071137,0,0
E07000084,Basingstoke And Deane,SE,3.052177707,0.122331772,8.425551666,3.07832181,0,0
E07000171,Bassetlaw,EM,4.283778077,0.162574399,6.31337304,1.145643449,0,0.053727111
E06000022,Bath And North East Somerset,SW,24.18434478,0.94944611,97.43598871,5.687698414,0,0
E06000055,Bedford,EE,38.00010618,1.288148217,95.40931365,6.783585233,0,0
E31000002,Bedfordshire Fire,EE,8.26227112,0.23815492,21.87991134,0,0,0
E31000003,Berkshire Fire,SE,10.39909082,0.285658703,23.82280784,0,0,0
E09000004,Bexley,L,39.95446815,1.469011318,116.1399516,0.743793955,0,0
E08000025,Birmingham,WM,469.7432295,14.35721095,365.6704113,7.236277503,0,0
E07000129,Blaby,EM,2.230238751,0.089388327,5.70377568,2.694836521,0,0
E06000008,Blackburn with Darwen,NW,58.08861487,1.786219639,55.85932243,0.998674422,0,0
E06000009,Blackpool,NW,63.3367883,1.936139232,60.13451723,0.266441463,0,0
E07000033,Bolsover,EM,4.11475078,0.117290955,4.019126784,0.952994912,0,0
E08000001,Bolton,NW,84.16813014,2.731796828,115.4918239,0.505780075,0,0
E07000136,Boston,EM,3.014253749,0.108335789,4.417770434,0.8859005,0,0.085246476
E06000028,Bournemouth,SW,0,0,0,0,0,0
E06000058,"Bournemouth, Christchurch and Poole",SW,57.90402101,2.200348999,217.0753814,2.647837106,0,0
E06000036,Bracknell Forest,SE,18.60291956,0.674625226,63.4754736,1.916555101,0,0
E08000032,Bradford,YH,173.8661951,5.581466919,206.111591,4.117868438,0,0
E07000067,Braintree,EE,3.486929073,0.139756676,9.85692564,0.907204379,0,0.022124606
E07000143,Breckland,EE,4.616208651,0.158693923,4.201500072,2.041958533,0,0.472438777
E09000005,Brent,L,113.2239554,3.539918485,128.1299877,7.418465139,0,0
E07000068,Brentwood,EE,1.659240236,0.066502615,6.38359384,0.697319914,0,0
E06000043,Brighton And Hove,SE,65.76493146,2.370148695,150.5472288,0.971857173,0,0
E06000023,Bristol,SW,119.602245,4.088121641,226.0550265,6.387261857,0,0
E07000144,Broadland,EE,2.906010231,0.115252463,5.9685765,2.318101539,0,0
E09000006,Bromley,L,38.47338922,1.542019608,166.982524,1.612358609,0,0
E07000234,Bromsgrove,WM,1.746174033,0.069986935,8.483652,1.775665509,0,0
E07000095,Broxbourne,EE,2.409185519,0.094353587,4.900137984,0.49152476,0,0
E07000172,Broxtowe,EM,2.897476359,0.116131317,5.704289136,0.109721507,0,0
E10000002,Buckinghamshire,SE,0,0,0,0,0,0
E06000060,Buckinghamshire Council,SE,54.4352952,2.181775359,347.3793713,12.46266146,0,0
E31000004,Buckinghamshire Fire,SE,7.468959892,0.206236415,20.45827142,0,0,0
E07000117,Burnley,NW,5.904653334,0.170921655,7.15994696,0.693990566,0,0
E08000002,Bury,NW,42.32599771,1.443244183,89.02078631,0.458204619,0,0
E08000033,Calderdale,YH,49.53055864,1.692526085,97.10880379,0.767519764,0,0
E07000008,Cambridge,EE,4.271780424,0.171213644,9.00130725,4.9125011,0,0
E10000003,Cambridgeshire,EE,65.39265437,2.620948071,313.8721754,2.926595441,0,0
E31000005,Cambridgeshire Fire,EE,8.910740014,0.245111324,20.9076211,0,0,0
E09000007,Camden,L,114.1680793,3.666797221,119.736882,5.825622672,0,0
E07000192,Cannock Chase,WM,3.045567641,0.122066839,6.4719501,1.478014546,0,0
E07000106,Canterbury,SE,4.687348921,0.187869696,11.09473751,1.659998605,0,0
E07000028,Carlisle,NW,3.33517816,0.133674475,7.48657992,1.492355343,0,0.183728954
E07000069,Castle Point,EE,2.263235692,0.090710849,8.14980204,0.218306466,0,0
E06000056,Central Bedfordshire,EE,32.17308214,1.28950229,163.9995779,9.521678075,0,0
E07000130,Charnwood,EM,4.460323482,0.172054565,8.559277776,4.12186513,0,0
E07000070,Chelmsford,EE,3.408135241,0.136598607,13.5820883,4.426370612,0,0
E07000078,Cheltenham,SW,2.841443382,0.113885506,9.23637456,1.252261522,0,0
E07000177,Cherwell,SE,3.934925641,0.153059729,7.41724665,5.836053409,0,0
E06000049,Cheshire East,NW,42.5363978,1.704865643,229.5040392,11.19275393,0,0
E31000006,Cheshire Fire,NW,13.46042706,0.379523771,30.14083279,0,0,0
E06000050,Cheshire West and Chester,NW,56.29265934,2.122354551,195.5573247,10.17751011,0,0
